"time","future","rate"
"2021-09-09T11:00:00+00:00","XLM-PERP","0.00001"
"2021-09-09T11:00:00+00:00","SKL-PERP","0.000001"
"2021-09-09T11:00:00+00:00","SLP-PERP","-0.000089"
"2021-09-09T11:00:00+00:00","ENJ-PERP","-0.000031"
"2021-09-09T11:00:00+00:00","UNISWAP-PERP","0.000168"
"2021-09-09T11:00:00+00:00","TULIP-PERP","0.000029"
"2021-09-09T11:00:00+00:00","PROM-PERP","-0.000086"
"2021-09-09T11:00:00+00:00","MAPS-PERP","0.000152"
"2021-09-09T11:00:00+00:00","TLM-PERP","0.000002"
"2021-09-09T11:00:00+00:00","AMPL-PERP","0.000209"
"2021-09-09T11:00:00+00:00","YFII-PERP","-0.00009"
"2021-09-09T11:00:00+00:00","MNGO-PERP","0.000085"
"2021-09-09T11:00:00+00:00","TRU-PERP","0.000013"
"2021-09-09T11:00:00+00:00","THETA-PERP","0.00007"
"2021-09-09T11:00:00+00:00","TOMO-PERP","0.000005"
"2021-09-09T11:00:00+00:00","ROOK-PERP","0.000001"
"2021-09-09T11:00:00+00:00","SRN-PERP","-0.000269"
"2021-09-09T11:00:00+00:00","DRGN-PERP","-0.000038"
"2021-09-09T11:00:00+00:00","RSR-PERP","-0.000004"
"2021-09-09T11:00:00+00:00","AUDIO-PERP","0.000058"
"2021-09-09T11:00:00+00:00","ATOM-PERP","0.000065"
"2021-09-09T11:00:00+00:00","FIDA-PERP","0.000034"
"2021-09-09T11:00:00+00:00","MKR-PERP","0.000025"
"2021-09-09T11:00:00+00:00","EOS-PERP","0.000021"
"2021-09-09T11:00:00+00:00","CHR-PERP","0.000038"
"2021-09-09T11:00:00+00:00","TRYB-PERP","-0.000086"
"2021-09-09T11:00:00+00:00","UNI-PERP","0.000008"
"2021-09-09T11:00:00+00:00","BRZ-PERP","-0.000016"
"2021-09-09T11:00:00+00:00","CRV-PERP","-0.00005"
"2021-09-09T11:00:00+00:00","COMP-PERP","0.000017"
"2021-09-09T11:00:00+00:00","SRM-PERP","0.000038"
"2021-09-09T11:00:00+00:00","ADA-PERP","-0.000035"
"2021-09-09T11:00:00+00:00","XRP-PERP","-0.000004"
"2021-09-09T11:00:00+00:00","STEP-PERP","0.000059"
"2021-09-09T11:00:00+00:00","CHZ-PERP","0.000012"
"2021-09-09T11:00:00+00:00","CLV-PERP","-0.000085"
"2021-09-09T11:00:00+00:00","PAXG-PERP","0.000039"
"2021-09-09T11:00:00+00:00","MID-PERP","-0.000009"
"2021-09-09T11:00:00+00:00","AAVE-PERP","0.000016"
"2021-09-09T11:00:00+00:00","OXY-PERP","0.000018"
"2021-09-09T11:00:00+00:00","CAKE-PERP","-0.000017"
"2021-09-09T11:00:00+00:00","RAY-PERP","0.000048"
"2021-09-09T11:00:00+00:00","LINK-PERP","0.000008"
"2021-09-09T11:00:00+00:00","SC-PERP","-0.000022"
"2021-09-09T11:00:00+00:00","XAUT-PERP","-0.000044"
"2021-09-09T11:00:00+00:00","DOGE-PERP","0.000018"
"2021-09-09T11:00:00+00:00","BCH-PERP","-0.000025"
"2021-09-09T11:00:00+00:00","CVC-PERP","0.00003"
"2021-09-09T11:00:00+00:00","NEO-PERP","0.000006"
